id,texto_referencia
4_06,"SANCHEZ ROMATE HNOS
MANZANILLA
VIVA LA
PEPA"
4_07,"TIO PEPE
JEREZ · XÉRÈS · SHERRY
FINO
EN
RAMA
*1835*"
4_08,"MANZANILLA
AURORA
DENOMINACIÓN DE ORIGEN
MANZANILLA
• SANLUCAR DE BARRAMEDA •
BODEGAS YUSTE"
4_09,"Sanlucar de Barrameda
MANZANILLA EN RAMA
""LA GITANA""
Aniversario
BODEGAS HIDALGO LA GITANA 1792"
4_10,"CAYETANO DEL PINO & Cia.
JEREZ - XÉRÈS - SHERRY
PALO CORTADO 1/10"
5_01,"Produce Whis
of Ky
SCOTLAND
(Registered)
WHITE CAT
THE WINEGROWER UNION C.º LTD."
5_02,"AMONTILLADO
VIEJO
JOSÉ HIDALGO
SANLUCAR DE BARRAMEDA"
5_03,"GUTIERREZ HERMANOS JEREZ
MARCA REGISTRADA
SOLERA
MEXICO"
5_04,"IBERIA
VERY OLD FULL
CREAM SHERRY
JEREZ.
SANCHEZ ROMATE H.OS.
R.E. 232 - CA
PRODUCE OF SPAIN"
5_05,"FINO
MARISMENO
SANCHEZ ROMATE HNOS JEREZ
R.I.S. 30.1.529/CA
R.E. 232-CA
17,5º
70 cl."
5_06,"GRAN PONCHE
BODEGA
JEREZANA
PUERTO REAL"
5_07,"RT
MARCA REGISTRADA PARA DISTINGUIR MIS VINOS SELECTOS
FINO ANDALUZ
a la Casa Marqués del Real
Tesoro productora de los
Famosos vinos de Jerez
M. Beulliure
1925
MARQUÉS DEL REAL TESORO
JEREZ
EMBOTELLADORES Nº 221
LIT. MIGUEL SALIDO-JEREZ"
5_08,"MERITO
SAVANNE SHERRY
Especially produced and shipped by
MARQUÉS DEL MÉRITO
JEREZ DE LA FRONTERA
SPAIN
LIT. HIJOS DE M. SALIDO LACAL-JEREZ."
5_09,"MERITO
SAFARI SHERRY
Especially produced bottled and shipped by
MARQUÉS DEL MÉRITO
JEREZ DE LA FRONTERA
SPAIN
ORLA-JEREZ"
5_10,"JEREZ APERITIVO
VIGOR
MANUEL FERNANDEZ
JEREZ
DE LA FRONTERA
(SPAIN)"
